Time,Mean,StDev,SEM,Group
1.333,0.16190001368522644,0.048700001090765,0.0141,Negative
1.667,0.19179999828338623,0.049300000071525574,0.0142,Negative
2.0,0.2084999978542328,0.0471000000834465,0.0136,Negative
2.333,0.2247999906539917,0.04600000008940697,0.0133,Negative
2.667,0.2386000007390976,0.04410000145435333,0.0127,Negative
3.0,0.25209999084472656,0.043699998408555984,0.0126,Negative
0.0,0.04150000214576721,0.058400001376867294,0.0169,7
0.333,0.04349999129772186,0.05490000173449516,0.0158,7
0.667,0.05490000545978546,0.05400000140070915,0.0156,7
1.0,0.06790000200271606,0.051899999380111694,0.015,7
1.333,0.07369999587535858,0.05310000106692314,0.0153,7
1.667,0.06559999287128448,0.05460000038146973,0.0158,7
2.0,0.05310000479221344,0.05490000173449516,0.0158,7
2.333,0.045900002121925354,0.05270000174641609,0.0152,7
2.667,0.04309999942779541,0.052299998700618744,0.0151,7
3.0,0.039399996399879456,0.051899999380111694,0.015,7
0.0,0.05329999327659607,0.06040000170469284,0.0174,14
0.333,0.06459999084472656,0.05820000171661377,0.0168,14
0.667,0.0787000060081482,0.0551999993622303,0.0159,14
1.0,0.10149998962879181,0.05559999868273735,0.0161,14
1.333,0.11959999799728394,0.05429999902844429,0.0157,14
1.667,0.13259997963905334,0.05009999871253967,0.0145,14
2.0,0.14669999480247498,0.04960000142455101,0.0143,14
2.333,0.15959998965263367,0.04839999973773956,0.014,14
2.667,0.1607000082731247,0.048900000751018524,0.0141,14
3.0,0.16010001301765442,0.049300000071525574,0.0142,14
0.0,0.028400003910064697,0.037300001829862595,0.0108,WT
0.333,0.04739999771118164,0.03539999946951866,0.0102,WT
0.667,0.0674000084400177,0.03400000184774399,0.0098,WT
1.0,0.08810000121593475,0.031700000166893005,0.0092,WT
1.333,0.10580000281333923,0.03150000050663948,0.0091,WT
1.667,0.12139999866485596,0.02969999983906746,0.0086,WT
2.0,0.13449999690055847,0.029400000348687172,0.0085,WT
2.333,0.14570000767707825,0.02879999950528145,0.0083,WT
2.667,0.1485999971628189,0.02889999933540821,0.0083,WT
3.0,0.14980000257492065,0.0284000001847744,0.0082,WT
0.0,0.06289999186992645,0.06589999794960022,0.019,22a
0.333,0.08219999074935913,0.06390000134706497,0.0184,22a
0.667,0.10149998962879181,0.06210000067949295,0.0179,22a
1.0,0.13419999182224274,0.06400000303983688,0.0185,22a
1.333,0.1597999930381775,0.06270000338554382,0.0181,22a
1.667,0.18239998817443848,0.060600001364946365,0.0175,22a
2.0,0.19870001077651978,0.05889999866485596,0.017,22a
2.333,0.20410001277923584,0.05730000138282776,0.0165,22a
2.667,0.2079000025987625,0.055799998342990875,0.0161,22a
3.0,0.2120000123977661,0.056299999356269836,0.0163,22a
0.0,0.07410000264644623,0.08540000021457672,0.0247,19
0.333,0.07490000128746033,0.08470000326633453,0.0245,19
0.667,0.08490000665187836,0.0851999968290329,0.0246,19
1.0,0.0973999947309494,0.08219999819993973,0.0237,19
1.333,0.10569998621940613,0.08160000294446945,0.0236,19
1.667,0.10400000214576721,0.08060000091791153,0.0233,19
2.0,0.08950001001358032,0.08269999921321869,0.0239,19
2.333,0.07459999620914459,0.08229999989271164,0.0238,19
2.667,0.06530000269412994,0.08330000191926956,0.024,19
3.0,0.057099997997283936,0.08590000122785568,0.0248,19
0.0,0.05779999494552612,0.06419999897480011,0.0185,17
0.333,0.062099993228912354,0.06589999794960022,0.019,17
0.667,0.06470000743865967,0.065700002014637,0.019,17
1.0,0.07649999856948853,0.0649000033736229,0.0187,17
1.333,0.0843999981880188,0.06379999965429306,0.0184,17
1.667,0.08289998769760132,0.06629999727010727,0.0191,17
2.0,0.057899996638298035,0.06560000032186508,0.0189,17
2.333,0.04700000584125519,0.06639999896287918,0.0192,17
2.667,0.04050000011920929,0.06620000302791595,0.0191,17
3.0,0.0340999960899353,0.06620000302791595,0.0191,17
0.0,0.07240000367164612,0.08079999685287476,0.0233,5
0.333,0.07349999248981476,0.07519999891519547,0.0217,5
0.667,0.08730001747608185,0.07259999960660934,0.021,5
1.0,0.1056000143289566,0.07039999961853027,0.0203,5
1.333,0.11590000987052917,0.06790000200271606,0.0196,5
1.667,0.1137000024318695,0.06689999997615814,0.0193,5
2.0,0.10060000419616699,0.06790000200271606,0.0196,5
2.333,0.09060001373291016,0.06920000165700912,0.02,5
